1674892800000,22997.34000000,23020.94000000,22959.08000000,22984.51000000,2714.43987000,1674896399999,62407876.03238880,64135,1326.33515000,30494418.67235800,0
1674896400000,22982.98000000,23024.47000000,22906.69000000,23004.50000000,3494.74913000,1674899999999,80336796.54682030,73433,1709.59620000,39301833.27084200,0
1674900000000,23004.90000000,23017.65000000,22955.02000000,22980.17000000,3029.45722000,1674903599999,69659691.66810430,65505,1463.64156000,33655974.93270320,0
1674903600000,22980.17000000,23005.00000000,22944.08000000,22986.67000000,2714.38501000,1674907199999,62374165.53316540,62513,1330.80249000,30581659.13964480,0
1674907200000,22986.53000000,22988.77000000,22922.85000000,22959.68000000,3511.06253000,1674910799999,80606272.11648790,82083,1699.86859000,39025713.62298340,0
1674910800000,22959.67000000,22980.69000000,22884.04000000,22976.08000000,5065.72139000,1674914399999,116168092.54245250,113196,2511.44962000,57597016.77738900,0
1674914400000,22976.09000000,22987.93000000,22950.00000000,22954.77000000,2170.41249000,1674917999999,49855239.12425710,63694,1089.70016000,25031652.01621620,0
1674918000000,22953.90000000,23045.70000000,22939.13000000,23016.36000000,4426.33102000,1674921599999,101854234.95616060,98482,2247.88681000,51727120.33877270,0
1674921600000,23016.61000000,23056.56000000,23010.39000000,23025.36000000,2991.49644000,1674925199999,68899819.67269250,74752,1492.94072000,34386854.91431450,0
1674925200000,23025.34000000,23036.38000000,22982.08000000,23025.14000000,2769.51394000,1674928799999,63729581.48138450,72181,1355.89246000,31201200.34202320,0
1674928800000,23024.20000000,23035.60000000,22984.00000000,23004.93000000,1972.36438000,1674932399999,45382759.44383880,55141,956.74463000,22014298.46251440,0
1674932400000,23005.26000000,23049.44000000,22996.33000000,23043.92000000,2095.87355000,1674935999999,48279439.69711910,55797,1070.92776000,24669376.00961370,0
1674936000000,23043.92000000,23048.00000000,22955.55000000,22968.14000000,2924.40810000,1674939599999,67264306.33231430,76324,1396.49673000,32121330.73927170,0
1674939600000,22968.15000000,23014.28000000,22945.01000000,23005.54000000,3390.36053000,1674943199999,77955525.24413840,66824,1694.02171000,38952418.65607110,0
1674943200000,23006.38000000,23020.00000000,22979.22000000,22982.45000000,2972.17458000,1674946799999,68358643.42990230,51930,1473.71876000,33895147.09093370,0
1674946800000,22981.46000000,23035.85000000,22966.00000000,23025.76000000,3101.31672000,1674950399999,71319360.99144560,54875,1594.41088000,36666168.38949720,0
1674950400000,23025.78000000,23149.99000000,22972.17000000,23116.79000000,6308.43994000,1674953999999,145513544.33999770,111071,3314.32386000,76449804.05221230,0
1674954000000,23116.44000000,23495.00000000,23116.44000000,23236.25000000,14723.37672000,1674957599999,343212391.33126090,238801,7521.65078000,175335876.46993170,0
1674957600000,23236.25000000,23283.56000000,23056.89000000,23148.00000000,8249.53710000,1674961199999,191007919.54124200,136947,4148.60194000,96058457.24092910,0
1674961200000,23146.70000000,23205.28000000,23108.82000000,23199.36000000,3888.50348000,1674964799999,90054838.11607030,73306,1953.30745000,45237929.39382200,0
1674964800000,23200.11000000,23247.00000000,23149.60000000,23235.16000000,4905.48154000,1674968399999,113818450.28459680,76192,2468.29438000,57271086.92935210,0
1674968400000,23236.04000000,23259.61000000,23194.06000000,23255.03000000,4471.79620000,1674971999999,103851638.56529130,65257,2230.97442000,51811684.23911030,0
1674972000000,23255.43000000,23274.21000000,23186.00000000,23205.53000000,4257.43683000,1674975599999,98883777.12644040,66673,2086.11320000,48452759.33843820,0
1674975600000,23205.50000000,23226.44000000,23178.70000000,23208.86000000,3924.89287000,1674979199999,91063850.17122150,66885,1919.11669000,44527347.01671460,0
1674979200000,23209.34000000,23230.53000000,23158.02000000,23177.19000000,4104.44491000,1674982799999,95196489.88674000,69106,1991.33790000,46186733.23376910,0
1674982800000,23178.32000000,23379.75000000,23162.90000000,23301.63000000,9356.62195000,1674986399999,217824745.05461880,129877,4736.41787000,110264551.53838010,0
1674986400000,23302.22000000,23500.00000000,23300.41000000,23452.94000000,10820.22048000,1674989999999,253370671.98210070,158531,5494.52945000,128667737.89804480,0
1674990000000,23452.94000000,23615.33000000,23274.54000000,23436.59000000,12581.26287000,1674993599999,294393563.75254900,170430,6409.71479000,149987553.74538640,0
